Steps;Cars
0;0
300;136
600;155
900;139
1200;155
1500;15
1800;145
2100;128
2400;146
2700;144
3000;138
3300;153
3600;132
3900;127
4200;15
4500;144
4800;149
5100;14
5400;127
5700;125
6000;122
6300;132
6600;148
6900;149
7200;146
7500;137
7800;152
8100;138
8400;135
8700;146
9000;153
9300;123
9600;143
9900;151
10200;144
10500;139
10800;152
11100;127
11400;144
11700;141
12000;142
12300;144
12600;138
12900;151
13200;142
13500;143
13800;147
14100;152
14400;12
14700;102
15000;98
15300;121
15600;122
15900;128
16200;132
16500;136
16800;83
17100;46
17400;144
17700;163
18000;157
18300;149
18600;141
18900;148
19200;144
19500;137
19800;149
20100;154
20400;151
20700;132
21000;15
21300;136
21600;134
21900;139
22200;139
22500;13
22800;145
23100;161
23400;144
23700;145
24000;141
24300;125
24600;122
24900;133
25200;14
25500;147
25800;139
26100;145
26400;144
26700;134
27000;139
27300;138
27600;153
27900;143
28200;145
28500;144
28800;132
29100;135
29400;134
29700;144
30000;135
30300;135
30600;144
30900;141
31200;131
31500;138
31800;144
32100;144
32400;142
32700;145
33000;147
33300;149
33600;145
33900;142
34200;146
34500;147
34800;142
35100;146
35400;142
35700;148
36000;133
36300;145
36600;14
36900;136
37200;151
37500;143
37800;147
38100;14
38400;117
38700;152
39000;119
39300;159
39600;143
39900;152
40200;144
40500;138
40800;134
41100;144
41400;142
41700;138
42000;138
42300;141
42600;146
42900;148
43200;149
43500;134
43800;156
44100;126
44400;154
44700;134
45000;161
45300;134
45600;157
45900;148
46200;14
46500;136
46800;133
47100;123
47400;146
47700;143
48000;126
48300;139
48600;145
48900;148
49200;152
49500;142
49800;142
50100;145
50400;139
50700;147
51000;119
51300;125
51600;135
51900;15
52200;117
52500;145
52800;144
53100;138
53400;14
53700;145
54000;14
54300;133
54600;161
54900;133
55200;139
55500;154
55800;143
56100;149
56400;157
56700;132
57000;134
57300;128
57600;137
57900;153
58200;137
58500;146
58800;14
59100;143
59400;147
59700;132
60000;156
60300;145
60600;133
60900;157
61200;148
61500;15
61800;144
62100;144
62400;14
62700;149
63000;134
63300;147
63600;138
63900;139
64200;147
64500;138
64800;143
65100;151
65400;145
65700;14
66000;138
66300;147
66600;139
66900;126
67200;124
67500;155
67800;139
68100;131
68400;144
68700;148
69000;137
69300;137
69600;144
69900;151
70200;139
70500;132
70800;152
71100;141
71400;162
71700;137
72000;135
72300;126
72600;146
72900;13
73200;145
73500;149
73800;129
74100;15
74400;147
74700;139
75300;136
75600;155
75900;139
76200;155
76500;15
76800;145
77100;128
77400;146
77700;144
78000;138
78300;153
78600;132
78900;127
79200;15
79500;144
79800;149
80100;14
80400;127
80700;125
81000;122
81300;132
81600;148
81900;149
82200;146
82500;137
82800;152
83100;138
83400;135
83700;146
84000;153
84300;123
84600;143
84900;151
85200;144
85500;139
85800;152
86100;127
86400;144
86700;141
87000;142
87300;144
87600;138
87900;151
88200;142
88500;143
88800;147
89100;152
89400;12
89700;102
90000;98
90300;121
90600;122
90900;128
91200;132
91500;136
91800;83
92100;46
92400;144
92700;163
93000;157
93300;149
93600;141
93900;148
94200;144
94500;137
94800;149
95100;154
95400;151
95700;132
96000;15
96300;136
96600;134
96900;139
97200;139
97500;13
97800;145
98100;161
98400;144
98700;145
99000;141
99300;125
99600;122
99900;133
100200;14
100500;147
100800;139
101100;145
101400;144
101700;134
102000;139
102300;138
102600;153
102900;143
103200;145
103500;144
103800;132
104100;135
104400;134
104700;144
105000;135
105300;135
105600;144
105900;141
106200;131
106500;138
106800;144
107100;144
107400;142
107700;145
108000;147
108300;149
108600;145
108900;142
109200;146
109500;147
109800;142
110100;146
110400;142
110700;148
111000;133
111300;145
111600;14
111900;136
112200;151
112500;143
112800;147
113100;14
113400;117
113700;152
114000;119
114300;159
114600;143
114900;152
115200;144
115500;138
115800;134
116100;144
116400;142
116700;138
117000;138
117300;141
117600;146
117900;148
118200;149
118500;134
118800;156
119100;126
119400;154
119700;134
120000;161
120300;134
120600;157
120900;148
121200;14
121500;136
121800;133
122100;123
122400;146
122700;143
123000;126
123300;139
123600;145
123900;148
124200;152
124500;142
124800;142
125100;145
125400;139
125700;147
126000;119
126300;125
126600;135
126900;15
127200;117
127500;145
127800;144
128100;138
128400;14
128700;145
129000;14
129300;133
129600;161
129900;133
130200;139
130500;154
130800;143
131100;149
131400;157
131700;132
132000;134
132300;128
132600;137
132900;153
133200;137
133500;146
133800;14
134100;143
134400;147
134700;132
135000;156
135300;145
135600;133
135900;157
136200;148
136500;15
136800;144
137100;144
137400;14
137700;149
138000;134
138300;147
138600;138
138900;139
139200;147
139500;138
139800;143
140100;151
140400;145
140700;14
141000;138
141300;147
141600;139
141900;126
142200;124
142500;155
142800;139
143100;131
143400;144
143700;148
144000;137
144300;137
144600;144
144900;151
145200;139
145500;132
145800;152
146100;141
146400;162
146700;137
147000;135
147300;126
147600;146
147900;13
148200;145
148500;149
148800;129
149100;15
149400;147
149700;139
150300;136
150600;155
150900;139
151200;155
151500;15
151800;145
152100;128
152400;146
152700;144
153000;138
153300;153
153600;132
153900;127
154200;15
154500;144
154800;149
155100;14
155400;127
155700;125
156000;122
156300;132
156600;148
156900;149
157200;146
157500;137
157800;152
158100;138
158400;135
158700;146
159000;153
159300;123
159600;143
159900;151
160200;144
160500;139
160800;152
161100;127
161400;144
161700;141
162000;142
162300;144
162600;138
162900;151
163200;142
163500;143
163800;147
164100;152
164400;12
164700;102
165000;98
165300;121
165600;122
165900;128
166200;132
166500;136
166800;83
167100;46
167400;144
167700;163
168000;157
168300;149
168600;141
168900;148
169200;144
169500;137
169800;149
170100;154
170400;151
170700;132
171000;15
171300;136
171600;134
171900;139
172200;139
172500;13
172800;145
173100;161
173400;144
173700;145
174000;141
174300;125
174600;122
174900;133
175200;14
175500;147
175800;139
176100;145
176400;144
176700;134
177000;139
177300;138
177600;153
177900;143
178200;145
178500;144
178800;132
179100;135
179400;134
179700;144
180000;135
180300;135
180600;144
180900;141
181200;131
181500;138
181800;144
182100;144
182400;142
182700;145
183000;147
183300;149
183600;145
183900;142
184200;146
184500;147
184800;142
185100;146
185400;142
185700;148
186000;133
186300;145
186600;14
186900;136
187200;151
187500;143
187800;147
188100;14
188400;117
188700;152
189000;119
189300;159
189600;143
189900;152
190200;144
190500;138
190800;134
191100;144
191400;142
191700;138
192000;138
192300;141
192600;146
192900;148
193200;149
193500;134
193800;156
194100;126
194400;154
194700;134
195000;161
195300;134
195600;157
195900;148
196200;14
196500;136
196800;133
197100;123
197400;146
197700;143
198000;126
198300;139
198600;145
198900;148
199200;152
199500;142
199800;142
200100;145
200400;139
200700;147
201000;119
201300;125
201600;135
201900;15
202200;117
202500;145
202800;144
203100;138
203400;14
203700;145
204000;14
204300;133
204600;161
204900;133
205200;139
205500;154
205800;143
206100;149
206400;157
206700;132
207000;134
207300;128
207600;137
207900;153
208200;137
208500;146
208800;14
209100;143
209400;147
209700;132
210000;156
210300;145
210600;133
210900;157
211200;148
211500;15
211800;144
212100;144
212400;14
212700;149
213000;134
213300;147
213600;138
213900;139
214200;147
214500;138
214800;143
215100;151
215400;145
215700;14
216000;138
216300;147
216600;139
216900;126
217200;124
217500;155
217800;139
218100;131
218400;144
218700;148
219000;137
219300;137
219600;144
219900;151
220200;139
220500;132
220800;152
221100;141
221400;162
221700;137
222000;135
222300;126
222600;146
222900;13
223200;145
223500;149
223800;129
224100;15
224400;147
224700;139
225300;136
225600;155
225900;139
226200;155
226500;15
226800;145
227100;128
227400;146
227700;144
228000;138
228300;153
228600;132
228900;127
229200;15
229500;144
229800;149
230100;14
230400;127
230700;125
231000;122
231300;132
231600;148
231900;149
232200;146
232500;137
232800;152
233100;138
233400;135
233700;146
234000;153
234300;123
234600;143
234900;151
235200;144
235500;139
235800;152
236100;127
236400;144
236700;141
237000;142
237300;144
237600;138
237900;151
238200;142
238500;143
238800;147
239100;152
239400;12
239700;102
240000;98
240300;121
240600;122
240900;128
241200;132
241500;136
241800;83
242100;46
242400;144
242700;163
243000;157
243300;149
243600;141
243900;148
244200;144
244500;137
244800;149
245100;154
245400;151
245700;132
246000;15
246300;136
246600;134
246900;139
247200;139
247500;13
247800;145
248100;161
248400;144
248700;145
249000;141
249300;125
249600;122
249900;133
250200;14
250500;147
250800;139
251100;145
251400;144
251700;134
252000;139
252300;138
252600;153
252900;143
253200;145
253500;144
253800;132
254100;135
254400;134
254700;144
255000;135
255300;135
255600;144
255900;141
256200;131
256500;138
256800;144
257100;144
257400;142
257700;145
258000;147
258300;149
258600;145
258900;142
259200;146
259500;147
259800;142
260100;146
260400;142
260700;148
261000;133
261300;145
261600;14
261900;136
262200;151
262500;143
262800;147
263100;14
263400;117
263700;152
264000;119
264300;159
264600;143
264900;152
265200;144
265500;138
265800;134
266100;144
266400;142
266700;138
267000;138
267300;141
267600;146
267900;148
268200;149
268500;134
268800;156
269100;126
269400;154
269700;134
270000;161
270300;134
270600;157
270900;148
271200;14
271500;136
271800;133
272100;123
272400;146
272700;143
273000;126
273300;139
273600;145
273900;148
274200;152
274500;142
274800;142
275100;145
275400;139
275700;147
276000;119
276300;125
276600;135
276900;15
277200;117
277500;145
277800;144
278100;138
278400;14
278700;145
279000;14
279300;133
279600;161
279900;133
280200;139
280500;154
280800;143
281100;149
281400;157
281700;132
282000;134
282300;128
282600;137
282900;153
283200;137
283500;146
283800;14
284100;143
284400;147
284700;132
285000;156
285300;145
285600;133
285900;157
286200;148
286500;15
286800;144
287100;144
287400;14
287700;149
288000;134
288300;147
288600;138
288900;139
289200;147
289500;138
289800;143
290100;151
290400;145
290700;14
291000;138
291300;147
291600;139
291900;126
292200;124
292500;155
292800;139
293100;131
293400;144
293700;148
294000;137
294300;137
294600;144
294900;151
295200;139
295500;132
295800;152
296100;141
296400;162
296700;137
297000;135
297300;126
297600;146
297900;13
298200;145
298500;149
298800;129
299100;15
299400;147
299700;139
300300;136
300600;155
300900;139
301200;155
301500;15
301800;145
302100;128
302400;146
302700;144
303000;138
303300;153
303600;132
303900;127
304200;15
304500;144
304800;149
305100;14
305400;127
305700;125
306000;122
306300;132
306600;148
306900;149
307200;146
307500;137
307800;152
308100;138
308400;135
308700;146
309000;153
309300;123
309600;143
309900;151
310200;144
310500;139
310800;152
311100;127
311400;144
311700;141
312000;142
312300;144
312600;138
312900;151
313200;142
313500;143
313800;147
314100;152
314400;12
314700;102
315000;98
315300;121
315600;122
315900;128
316200;132
316500;136
316800;83
317100;46
317400;144
317700;163
318000;157
318300;149
318600;141
318900;148
319200;144
319500;137
319800;149
320100;154
320400;151
320700;132
321000;15
321300;136
321600;134
321900;139
322200;139
322500;13
322800;145
323100;161
323400;144
323700;145
324000;141
324300;125
324600;122
324900;133
325200;14
325500;147
325800;139
326100;145
326400;144
326700;134
327000;139
327300;138
327600;153
